15-02,-9.9,-5.2,0.8,-4.4,4.4,8.8,0.0,0.5,4.3,0,76
16-02,-11.4,-4.4,0.9,-3.8,1.7,6.4,0.0,0.5,2.2,108,81
17-02,-17.2,-5.4,1.1,-8.1,2.4,8.8,0.0,0.5,3.7,403,80
18-02,-19.5,-3.7,4.6,-0.7,3.5,9.7,0.0,0.5,4.2,545,79
19-02,-9.8,-3.1,2.8,-1.7,5.2,10.1,0.0,0.4,1.5,418,86
20-02,-9.3,-2.0,5.6,-2.4,6.1,12.6,0.0,0.4,0.5,83,80
21-02,-13.8,-4.4,0.2,-1.7,4.8,11.1,0.0,0.4,2.6,460,86
22-02,-9.8,-3.5,0.1,-3.8,4.8,10.8,0.0,0.4,1.4,433,83
23-02,-13.9,-3.6,1.1,0.0,5.8,11.5,0.0,0.4,0.6,353,80
24-02,-11.5,-2.6,3.0,-0.1,5.2,13.9,0.0,0.4,2.3,0,81
25-02,-9.3,-2.9,2.1,-0.3,4.8,14.1,0.0,0.4,0.2,3,77
26-02,-12.0,-3.8,0.0,0.0,6.2,16.9,0.0,0.4,1.5,0,74
27-02,-8.8,-2.8,1.9,0.4,5.2,14.0,0.0,0.4,4.4,0,74
28-02,-8.7,-4.0,-1.0,0.7,6.2,11.5,0.0,0.4,0.9,0,71
01-03,-7.3,-2.3,2.3,1.7,9.0,16.0,0.0,0.2,0.1,73,77
02-03,-3.8,0.7,5.6,0.2,7.4,12.0,0.0,0.1,1.4,583,79
03-03,-3.1,-0.2,2.8,2.1,10.3,17.7,0.0,0.1,0.7,233,80
04-03,-3.1,-0.1,2.6,0.4,8.9,15.8,0.0,0.1,3.7,0,75
05-03,-5.7,-0.1,4.2,0.7,7.0,12.0,0.0,0.1,3.3,105,76
06-03,-5.4,-1.7,2.1,0.7,7.0,13.4,0.0,0.1,0.9,268,74
07-03,-7.5,-3.6,1.1,-1.4,5.0,13.4,0.0,0.1,1.9,0,65
08-03,-8.9,-3.5,0.9,-3.7,3.0,11.5,0.0,0.1,0.1,0,60
09-03,-11.3,-5.0,-1.5,-0.1,5.7,12.3,0.0,0.2,3.6,0,63
10-03,-9.0,-3.8,-0.3,0.0,5.1,9.7,0.0,0.3,1.4,0,69
11-03,-7.0,-2.6,0.9,1.3,5.3,10.1,0.0,0.1,7.0,0,69
12-03,-4.8,-2.2,0.0,1.5,7.8,13.3,0.0,0.1,0.8,5,67
13-03,-6.9,-3.2,-0.3,4.0,8.3,11.9,0.0,0.2,0.0,3,69
14-03,-6.4,-3.0,3.0,2.6,9.0,14.0,0.0,0.2,0.0,0,64
15-03,-8.7,-3.2,4.6,3.4,11.0,15.2,0.0,0.3,0.0,133,68
16-03,-4.9,-1.9,3.2,5.4,11.6,16.8,0.0,0.1,0.0,0,65
17-03,-4.3,-0.7,6.0,3.8,8.3,13.4,0.0,0.0,1.2,135,78
18-03,-7.6,-3.3,1.9,3.0,8.7,14.1,0.0,0.2,0.0,0,80
19-03,-11.5,-3.9,1.9,4.0,8.2,13.1,0.0,0.4,2.6,0,75
20-03,-4.4,-0.2,3.0,-2.7,7.2,13.5,0.0,0.1,3.4,258,72
21-03,-4.4,-1.6,0.4,-0.5,5.7,14.3,0.0,0.1,3.1,0,65
22-03,-4.1,-0.5,2.8,-1.4,6.3,15.6,0.0,0.1,1.0,255,69
23-03,-8.2,-0.9,5.8,3.0,7.7,14.1,0.0,0.1,4.4,0,70
24-03,-9.0,-1.2,5.0,5.7,7.8,11.3,0.0,0.1,3.9,0,62
25-03,-3.5,-0.2,5.4,-1.0,6.2,14.0,0.0,0.1,0.5,0,64
26-03,-4.8,-1.2,4.0,-1.4,6.5,16.8,0.0,0.1,2.0,0,66
27-03,-7.5,-0.3,5.0,2.8,8.1,18.5,0.0,0.1,1.6,13,63
28-03,-6.5,-0.5,3.6,1.9,8.3,14.0,0.0,0.1,2.6,0,69
29-03,-2.9,0.6,5.2,3.4,9.2,13.1,0.0,0.0,3.9,0,79
30-03,-2.8,1.0,5.0,2.6,10.5,15.3,0.0,0.0,2.3,25,71
31-03,-5.4,2.9,11.0,7.1,12.7,20.0,0.0,0.0,1.4,0,74
01-04,-4.4,2.8,9.9,9.5,12.4,16.5,0.0,0.0,0.0,0,66
02-04,-2.8,1.5,7.5,9.1,12.4,15.8,0.0,0.0,0.3,0,63
03-04,-1.7,2.3,8.8,6.7,11.7,16.8,0.0,0.0,0.4,0,69
04-04,-2.3,1.5,6.0,2.3,9.6,16.8,0.0,0.0,11.9,95,63
